0.0||	0.0||	1.452030855753075||	
0.21855421563569427||	0.0||	1.8973238683947964||	
0.0||	0.0||	0.8327197603692966||	
0.0||	0.0||	0.8313888024112794||	
0.0||	1.4781113018652778||	0.25749789715426835||	
0.0||	1.5685226832255552||	0.0||	
0.0||	1.584103167989112||	0.0||	
0.0||	1.6815166547388087||	0.0||	
0.8155245747287476||	0.0||	0.0||	
0.8191442107143679||	0.0||	0.0||	
